1_0	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_1	SELECT COUNT(activity) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	0
1_2	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_3	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_4	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_5	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_6	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_7	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_8	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_9	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
1_10	SELECT COUNT(*) FROM event_log WHERE activity = 'end_trip';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	True
2_0	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	True
2_1	SELECT COUNT(*) FROM event_log WHERE activity = 'atualizado' AND resource = 'James' AND activity LIKE '%fim da viagem%';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	0
2_2	SELECT COUNT(*) FROM event_log WHERE activity = 'atualizado' AND resource = 'James' AND activity LIKE '%fim da viagem%';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	0
2_3	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	True
2_4	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da Viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	True
2_5	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	True
2_6	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	True
2_7	SELECT COUNT(*) FROM event_log WHERE activity = 'fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	True
